Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1153,40.0,4,1,2,0,-4.0,1,0,2,5,8,2033,1,-1,0,3,0
1154,39.0,4,1,1,0,18.0,1,0,2,5,8,85,1,-1,0,3,0
1155,50.0,9,1,0,0,139.0,0,0,2,5,8,114,2,-1,0,3,0
1156,41.0,7,1,1,0,0.0,1,0,2,5,8,114,2,-1,0,3,0
1157,51.0,1,1,3,0,1883.0,1,0,2,5,8,57,1,-1,0,3,0
1158,60.0,5,0,1,0,216.0,1,0,2,5,8,238,1,-1,0,3,0
1159,52.0,1,1,1,0,782.0,1,0,2,5,8,93,3,-1,0,3,0
1160,48.0,1,1,1,0,904.0,1,0,2,5,8,128,2,-1,0,3,0
1161,48.0,7,1,3,0,1705.0,1,0,2,5,8,107,1,-1,0,3,0
1162,39.0,9,2,2,0,47.0,1,0,2,5,8,181,1,-1,0,3,0
1163,47.0,7,2,1,0,176.0,1,0,2,5,8,303,2,-1,0,3,0
1164,40.0,1,1,1,0,1225.0,1,0,2,5,8,558,5,-1,0,3,0
1165,45.0,9,1,1,0,86.0,1,0,2,5,8,270,1,-1,0,3,0
1166,26.0,0,2,1,0,82.0,1,0,2,5,8,228,1,-1,0,3,0
1167,52.0,4,1,2,0,271.0,1,0,2,5,8,99,1,-1,0,3,0
1168,54.0,9,1,1,0,1378.0,1,0,2,5,8,240,1,-1,0,3,0
1169,54.0,0,1,2,0,184.0,0,0,2,5,8,673,2,-1,0,3,1
1170,50.0,1,1,0,0,0.0,0,0,2,5,8,233,3,-1,0,3,0
1171,35.0,1,1,1,0,0.0,1,0,2,5,8,1056,1,-1,0,3,0
1172,44.0,7,1,1,0,1357.0,1,1,2,5,8,250,1,-1,0,3,0
1173,53.0,2,1,3,0,19.0,1,0,2,5,8,252,1,-1,0,3,0
1174,35.0,5,2,0,0,434.0,0,0,2,5,8,138,1,-1,0,3,0
1175,60.0,0,0,1,0,92.0,1,0,2,5,8,130,1,-1,0,3,0
1176,53.0,0,0,1,0,1151.0,1,0,2,5,8,412,1,-1,0,3,0
1177,48.0,10,1,1,0,41.0,1,0,2,5,8,179,2,-1,0,3,0
1178,34.0,9,1,1,0,51.0,1,0,2,5,8,19,2,-1,0,3,0
1179,54.0,7,1,1,0,214.0,1,0,2,5,8,458,2,-1,0,3,0
1180,51.0,4,1,1,0,1161.0,1,0,2,5,8,717,1,-1,0,3,0
1181,31.0,7,1,2,0,37.0,1,0,2,5,8,313,1,-1,0,3,0
1182,35.0,9,0,1,0,787.0,1,0,2,5,8,683,2,-1,0,3,0
1183,35.0,7,1,1,0,59.0,1,0,2,5,8,1077,1,-1,0,3,0
1184,38.0,9,1,1,0,253.0,1,0,2,5,8,416,1,-1,0,3,0
1185,36.0,0,1,2,0,211.0,1,0,2,5,8,146,2,-1,0,3,0
1186,58.0,5,1,0,0,235.0,1,0,2,5,8,167,1,-1,0,3,0
1187,40.0,7,0,3,0,4384.0,1,0,2,5,8,315,1,-1,0,3,0
1188,54.0,4,1,1,0,4080.0,0,0,2,5,8,140,1,-1,0,3,0
1189,34.0,1,2,1,0,53.0,1,1,2,5,8,346,1,-1,0,3,0
1190,31.0,4,2,2,0,0.0,1,0,2,5,8,562,1,-1,0,3,0
1191,51.0,5,1,1,0,2127.0,1,0,2,5,8,172,1,-1,0,3,0
1192,33.0,4,1,2,0,377.0,1,0,2,5,8,217,1,-1,0,3,0
1193,55.0,4,1,2,0,73.0,1,0,2,5,8,142,2,-1,0,3,0
1194,42.0,0,1,1,0,445.0,1,0,2,5,8,67,1,-1,0,3,0
1195,34.0,1,1,1,0,243.0,1,0,2,5,8,291,1,-1,0,3,0
1196,33.0,1,2,1,0,307.0,1,0,2,5,8,309,2,-1,0,3,0
1197,38.0,7,1,1,0,155.0,1,0,2,5,8,248,1,-1,0,3,0
1198,50.0,9,0,2,0,173.0,0,1,2,5,8,98,1,-1,0,3,0
1199,43.0,4,1,2,0,400.0,1,0,2,5,8,256,1,-1,0,3,0
1200,61.0,1,0,0,0,1428.0,1,0,2,5,8,82,2,-1,0,3,0
1201,47.0,0,1,1,0,219.0,1,0,2,5,8,577,1,-1,0,3,0
1202,48.0,6,1,2,0,7.0,1,0,2,5,8,286,1,-1,0,3,0
1203,44.0,1,1,1,0,575.0,1,0,2,5,8,477,1,-1,0,3,0
1204,35.0,8,2,3,0,298.0,1,0,2,5,8,611,2,-1,0,3,0
1205,35.0,7,1,1,0,0.0,1,0,2,5,8,471,1,-1,0,3,0
1206,50.0,7,1,1,0,5699.0,1,0,2,5,8,381,2,-1,0,3,0
1207,41.0,4,1,2,0,176.0,1,1,2,5,8,42,1,-1,0,3,0
1208,41.0,4,1,2,0,517.0,1,0,2,5,8,251,1,-1,0,3,0
1209,39.0,7,2,3,0,257.0,1,0,2,5,8,408,1,-1,0,3,0
1210,42.0,5,1,1,0,56.0,1,0,2,5,8,215,1,-1,0,3,0
1211,38.0,1,1,1,0,-390.0,1,0,2,5,8,287,1,-1,0,3,0
1212,53.0,5,1,1,0,330.0,1,0,2,5,8,216,2,-1,0,3,0
1213,59.0,3,0,0,0,195.0,0,0,2,5,8,366,2,-1,0,3,0
1214,36.0,7,1,1,0,301.0,1,0,2,5,8,210,1,-1,0,3,0
1215,54.0,1,1,0,0,-41.0,1,0,2,5,8,288,1,-1,0,3,0
1216,40.0,9,1,2,0,483.0,1,0,2,5,8,168,1,-1,0,3,0
1217,47.0,11,1,3,0,28.0,0,0,2,5,8,338,2,-1,0,3,0
1218,53.0,10,1,3,0,13.0,0,0,2,5,8,410,3,-1,0,3,0
1219,46.0,3,1,0,0,965.0,0,0,2,5,8,177,1,-1,0,3,0
1220,39.0,4,1,2,0,378.0,1,1,2,5,8,127,2,-1,0,3,0
1221,40.0,10,1,1,0,219.0,1,0,2,5,8,357,1,-1,0,3,0
1222,28.0,1,1,0,0,324.0,1,0,2,5,8,175,1,-1,0,3,0
1223,35.0,2,0,1,0,-69.0,1,0,2,5,8,300,1,-1,0,3,0
1224,55.0,5,1,1,0,0.0,0,1,2,5,8,136,1,-1,0,3,0
1225,43.0,9,0,3,0,205.0,1,0,2,5,8,1419,1,-1,0,3,0
1226,48.0,1,1,0,0,278.0,1,0,2,5,8,125,2,-1,0,3,0
1227,58.0,4,1,3,0,1065.0,1,0,2,5,8,213,3,-1,0,3,0
1228,33.0,4,2,2,0,34.0,1,0,2,5,8,27,1,-1,0,3,0
1229,36.0,1,1,3,0,1033.0,0,0,2,5,8,238,2,-1,0,3,0
1230,53.0,7,0,1,0,1467.0,1,0,2,5,8,124,1,-1,0,3,0
1231,47.0,1,1,0,0,-12.0,1,0,2,5,8,18,1,-1,0,3,0
1232,31.0,7,1,1,0,388.0,1,0,2,5,8,730,2,-1,0,3,0
1233,57.0,2,1,1,0,294.0,1,0,2,5,8,746,2,-1,0,3,0
1234,53.0,1,1,3,0,1827.0,0,0,2,5,8,121,1,-1,0,3,0
1235,55.0,1,1,0,0,627.0,1,0,2,5,8,247,1,-1,0,3,0
1236,45.0,1,1,0,0,25.0,1,0,2,5,8,40,1,-1,0,3,0
1237,53.0,0,0,1,0,315.0,1,0,2,5,8,181,2,-1,0,3,0
1238,37.0,1,1,0,0,0.0,1,0,2,5,8,79,1,-1,0,3,0
1239,44.0,0,0,1,0,66.0,1,0,2,5,8,206,1,-1,0,3,0
1240,49.0,1,0,0,0,-9.0,1,1,2,5,8,389,1,-1,0,3,0
1241,46.0,9,1,1,0,349.0,1,1,2,5,8,127,1,-1,0,3,0
1242,43.0,2,1,3,0,100.0,1,0,2,5,8,702,1,-1,0,3,0
1243,38.0,0,1,1,0,0.0,0,0,2,5,8,151,1,-1,0,3,0
1244,43.0,9,1,1,0,434.0,1,0,2,5,8,117,1,-1,0,3,0
1245,49.0,4,1,2,0,3237.0,1,0,2,5,8,232,3,-1,0,3,0
1246,42.0,4,1,3,0,275.0,0,0,2,5,8,408,2,-1,0,3,0
1247,22.0,1,2,1,0,0.0,1,0,2,5,8,179,2,-1,0,3,0
1248,40.0,4,1,2,0,207.0,1,0,2,5,8,39,1,-1,0,3,0
1249,39.0,1,1,1,0,483.0,1,0,2,5,8,282,1,-1,0,3,0
1250,51.0,7,1,1,0,2248.0,1,0,2,5,8,714,2,-1,0,3,0
1251,49.0,0,1,1,0,428.0,1,0,2,5,8,50,1,-1,0,3,0
1252,53.0,1,1,1,0,0.0,1,1,2,5,8,181,1,-1,0,3,0
1253,34.0,7,2,1,0,0.0,1,0,2,5,8,142,1,-1,0,3,0
1254,33.0,9,0,1,0,140.0,1,0,2,5,8,227,1,-1,0,3,0
1255,50.0,4,2,2,0,297.0,1,0,2,5,8,119,1,-1,0,3,0
1256,39.0,1,1,0,0,279.0,1,0,2,5,8,361,1,-1,0,3,0
1257,59.0,2,0,1,0,901.0,1,0,2,5,8,73,3,-1,0,3,0
1258,30.0,9,2,1,0,2573.0,1,0,2,5,8,67,2,-1,0,3,0
1259,36.0,7,1,1,0,143.0,1,1,2,5,8,350,1,-1,0,3,0
1260,40.0,1,1,1,0,475.0,1,0,2,5,8,332,2,-1,0,3,0
1261,53.0,1,1,1,0,70.0,1,0,2,5,8,611,2,-1,0,3,0
1262,34.0,4,2,2,0,318.0,1,0,2,5,8,113,2,-1,0,3,0
1263,37.0,9,1,1,0,275.0,1,0,2,5,8,132,1,-1,0,3,0
1264,42.0,4,0,2,0,742.0,1,0,2,5,8,58,3,-1,0,3,0
1265,41.0,2,1,0,0,236.0,1,0,2,5,8,151,1,-1,0,3,0
1266,30.0,8,2,2,0,25.0,1,0,2,5,8,89,2,-1,0,3,0
1267,37.0,4,2,2,0,600.0,1,0,2,5,8,152,1,-1,0,3,0
1268,39.0,0,0,1,0,-349.0,1,0,2,5,8,611,2,-1,0,3,0
1269,41.0,1,1,0,0,183.0,1,1,2,5,8,110,2,-1,0,3,0
1270,40.0,1,1,0,0,0.0,1,0,2,5,8,463,1,-1,0,3,0
1271,42.0,4,2,2,0,0.0,1,1,2,5,8,562,2,-1,0,3,1
1272,40.0,1,0,0,0,0.0,1,0,2,5,8,962,1,-1,0,3,0
1273,57.0,9,1,1,0,1078.0,1,0,2,5,8,10,4,-1,0,3,0
1274,56.0,2,0,1,0,155.0,0,0,2,5,8,118,3,-1,0,3,0
1275,37.0,0,1,1,0,190.0,1,0,2,5,8,92,2,-1,0,3,0
1276,59.0,5,1,1,0,319.0,1,0,2,5,8,143,3,-1,0,3,0
1277,39.0,7,0,1,0,-185.0,1,0,2,5,8,189,3,-1,0,3,0
1278,49.0,7,1,1,0,47.0,0,0,2,5,8,234,2,-1,0,3,0
1279,38.0,7,2,1,0,570.0,1,0,2,5,8,75,2,-1,0,3,0
1280,36.0,6,1,2,0,19.0,0,0,2,5,8,189,2,-1,0,3,0
1281,50.0,1,1,0,0,61.0,1,0,2,5,8,621,3,-1,0,3,0
1282,41.0,0,1,1,0,-62.0,1,1,2,5,8,55,2,-1,0,3,0
1283,54.0,9,1,2,0,258.0,0,0,2,5,8,310,4,-1,0,3,0
1284,58.0,1,1,0,0,76.0,1,0,2,5,8,156,2,-1,0,3,0
1285,30.0,1,2,1,0,0.0,1,0,2,5,8,5,2,-1,0,3,0
1286,33.0,0,2,1,0,352.0,1,0,2,5,8,225,2,-1,0,3,0
1287,47.0,0,1,1,0,368.0,1,0,2,5,8,125,2,-1,0,3,0
1288,50.0,9,2,2,0,339.0,1,0,2,5,8,2,3,-1,0,3,0
1289,32.0,1,1,1,0,1331.0,1,0,2,5,8,286,2,-1,0,3,0
1290,40.0,6,1,1,0,672.0,1,0,2,5,8,164,2,-1,0,3,0
1291,37.0,4,1,2,0,58.0,1,0,2,5,8,98,2,-1,0,3,0
1292,54.0,9,2,3,0,447.0,1,0,2,5,8,742,2,-1,0,3,0
1293,24.0,8,2,1,0,423.0,1,0,2,5,8,226,3,-1,0,3,0
1294,54.0,4,1,2,0,0.0,0,0,2,5,8,120,2,-1,0,3,0
1295,34.0,9,1,1,0,19.0,1,0,2,5,8,362,4,-1,0,3,0
1296,56.0,9,0,0,0,13.0,1,0,2,5,8,357,2,-1,0,3,0
1297,31.0,1,2,1,0,3.0,1,0,2,5,8,200,2,-1,0,3,0
1298,24.0,8,2,1,0,82.0,1,0,2,5,8,204,2,-1,0,3,0
1299,42.0,1,0,0,0,28.0,1,0,2,5,8,126,3,-1,0,3,0
1300,57.0,9,1,1,0,792.0,1,0,2,5,8,65,2,-1,0,3,0
1301,42.0,1,1,3,0,408.0,1,0,2,5,8,107,2,-1,0,3,0
1302,51.0,0,1,1,0,531.0,1,0,2,5,8,267,2,-1,0,3,0
1303,57.0,5,1,1,0,211.0,1,0,2,5,8,248,2,-1,0,3,0
1304,36.0,7,2,1,0,62.0,1,0,2,5,8,215,2,-1,0,3,0
1305,53.0,7,1,3,0,257.0,1,0,2,5,8,209,2,-1,0,3,0
1306,50.0,9,1,1,0,1234.0,1,0,2,5,8,205,2,-1,0,3,0
1307,54.0,4,1,2,0,313.0,1,0,2,5,8,83,2,-1,0,3,0
1308,55.0,1,1,1,0,89.0,1,0,2,5,8,106,3,-1,0,3,0
1309,44.0,1,1,1,0,129.0,1,1,2,5,8,189,2,-1,0,3,0
1310,43.0,4,1,3,0,0.0,1,0,2,5,8,105,2,-1,0,3,0
1311,56.0,0,1,1,0,353.0,1,0,2,5,8,106,2,-1,0,3,0
1312,54.0,9,1,3,0,851.0,1,0,2,5,8,108,2,-1,0,3,0
1313,55.0,7,0,0,0,96.0,1,1,2,5,8,311,2,-1,0,3,0
1314,37.0,7,0,1,0,398.0,1,1,2,5,8,214,2,-1,0,3,0
1315,33.0,0,2,2,0,193.0,0,0,2,5,8,132,2,-1,0,3,0
1316,46.0,0,1,1,0,-358.0,1,0,2,5,8,358,2,-1,0,3,0
1317,36.0,1,1,1,0,539.0,1,1,2,5,8,453,2,-1,0,3,0
1318,51.0,9,2,1,0,0.0,1,0,2,5,8,364,2,-1,0,3,0
1319,40.0,5,2,0,0,0.0,0,0,2,5,8,136,2,-1,0,3,0
1320,42.0,1,1,1,0,490.0,1,0,2,5,8,386,2,-1,0,3,0
1321,51.0,1,1,1,0,0.0,1,0,2,5,8,173,2,-1,0,3,0
1322,49.0,1,1,3,0,403.0,1,0,2,5,8,241,2,-1,0,3,0
1323,48.0,4,1,1,0,161.0,1,0,2,5,8,224,3,-1,0,3,0
1324,32.0,9,0,2,0,2558.0,0,0,2,5,8,148,2,-1,0,3,0
1325,31.0,0,2,1,0,98.0,1,0,2,5,8,196,2,-1,0,3,0
1326,55.0,4,2,2,0,115.0,0,0,2,5,8,111,4,-1,0,3,0
1327,40.0,1,2,1,0,436.0,1,0,2,5,8,231,3,-1,0,3,0
1328,47.0,9,1,2,0,831.0,1,0,2,5,8,316,3,-1,0,3,0
1329,57.0,9,1,3,0,206.0,1,0,2,5,8,216,3,-1,0,3,0
1330,41.0,1,1,1,0,290.0,1,0,2,5,8,240,2,-1,0,3,0
1331,48.0,1,1,1,0,1.0,0,0,2,5,8,669,3,-1,0,3,0
1332,42.0,1,1,3,0,57.0,1,0,2,5,8,425,2,-1,0,3,0
1333,30.0,1,2,1,0,-457.0,1,0,2,5,8,143,2,-1,0,3,0
1334,58.0,4,2,2,0,1387.0,1,0,2,5,8,174,5,-1,0,3,0
1335,45.0,4,0,2,0,24598.0,1,0,2,5,8,313,3,-1,0,3,0
1336,49.0,1,1,1,0,30.0,1,0,2,5,8,135,4,-1,0,3,0
1337,42.0,0,2,1,0,1022.0,1,0,2,5,8,146,2,-1,0,3,0
1338,53.0,9,1,1,0,56.0,1,1,2,5,8,152,2,-1,0,3,0
1339,51.0,0,2,1,1,-2.0,0,0,2,5,8,402,3,-1,0,3,0
1340,32.0,7,2,1,0,121.0,1,0,2,5,8,213,2,-1,0,3,0
1341,41.0,1,2,1,0,842.0,1,0,2,5,8,144,3,-1,0,3,0
1342,43.0,4,0,1,0,693.0,1,0,2,5,8,124,3,-1,0,3,0
1343,40.0,1,0,1,0,-333.0,1,0,2,5,8,183,2,-1,0,3,0
